# nhmmer :: search a DNA model, alignment, or sequence against a DNA database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query file:                      /opt/nesi/CS400_centos7_bdw/CheckM/1.2.3-foss-2023a-Python-3.11.6/data/hmms_ssu/SSU_euk.hmm
# target sequence database:        -
# output directed to file:         /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.euk.txt
# hits tabular output:             /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.euk.table.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 1e-05
# number of worker threads:        16
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       silva.eukarya  [M=1734]
Scores for complete hits:
    E-value  score  bias  Sequence                              start    end  Description
    ------- ------ -----  --------                              -----  -----  -----------
          0 1615.9  33.6  NODE_1673_length_3345_cov_4.424113      926   2655 
    1.5e-96  326.8   8.9  NODE_413467_length_410_cov_2.399399       3    409 
    1.8e-83  283.5  14.0  NODE_3693_length_2416_cov_4.865327     1132   1903 
    1.3e-80  274.1   9.8  NODE_8382_length_1752_cov_14.712239     832     90 
    2.1e-79  270.0  17.0  NODE_3108_length_2596_cov_7.942834      985   1740 
    2.8e-76  259.7  26.1  NODE_35269_length_1001_cov_16.839827    401    998 
    1.5e-74  253.9  11.9  NODE_62224_length_813_cov_7.716033        7    693 
    1.6e-74  253.8  16.1  NODE_30052_length_1065_cov_9.051619     282   1028 
    1.4e-73  250.7  13.7  NODE_3185_length_2571_cov_16.783881    1434    670 
    2.3e-71  243.4  15.4  NODE_6403_length_1938_cov_9.062332      889   1637 
    1.7e-62  214.0   9.4  NODE_94797_length_701_cov_11.048077      22    553 
    5.8e-61  208.9  20.6  NODE_90989_length_711_cov_11.678233      11    700 
    1.3e-60  207.8  20.2  NODE_18305_length_1291_cov_2.130972     681      4 
    1.5e-59  204.3   9.8  NODE_102100_length_683_cov_20.465347     10    535 
    4.1e-58  199.5   1.2  NODE_433100_length_403_cov_1.702454       1    293 
    4.6e-57  196.0   3.2  NODE_76612_length_755_cov_1.479351        2    603 
    3.9e-53  183.0   8.2  NODE_17343_length_1316_cov_17.736885   1315    798 
    1.7e-52  180.9  12.4  NODE_283259_length_472_cov_19.792405     29    470 
    2.5e-50  173.7   7.0  NODE_141874_length_609_cov_5.768797     157    607 
    4.7e-50  172.8  11.3  NODE_16490_length_1343_cov_16.184044    460      5 
    8.8e-49  168.6  10.5  NODE_255860_length_490_cov_7.818402       6    484 
    1.7e-46  161.0  15.5  NODE_142584_length_608_cov_17.885122    147    606 
      8e-46  158.8   7.4  NODE_195526_length_542_cov_2.081720     408      3 
    3.7e-45  156.6  11.6  NODE_126360_length_634_cov_21.023339    444      2 
    1.5e-43  151.3   6.3  NODE_442142_length_400_cov_1.386997     368      2 
    2.8e-43  150.3   6.3  NODE_253016_length_492_cov_2.734940     492      5 
    4.4e-43  149.7  14.2  NODE_11774_length_1534_cov_2.389156       1    494 
    1.2e-40  141.6   8.6  NODE_316776_length_453_cov_1.247340     452      1 
    9.9e-39  135.3   6.6  NODE_69215_length_783_cov_2.383853      783    326 
    4.2e-37  129.9  10.4  NODE_432918_length_403_cov_6.852761       3    400 
    9.8e-37  128.7   4.7  NODE_315196_length_454_cov_1.007958     454      1 
    1.2e-36  128.4   8.2  NODE_229907_length_510_cov_4.718245     506    141 
      5e-36  126.3  10.2  NODE_555825_length_337_cov_12.196154    328      5 
    1.6e-35  124.7   3.8  NODE_30653_length_1057_cov_2.940816       4    366 
    1.6e-35  124.6  25.2  NODE_69244_length_783_cov_1.720963      363     26 
    1.6e-34  121.3   5.4  NODE_25613_length_1132_cov_14.159242      5    367 
    3.9e-34  120.0   7.5  NODE_13264_length_1463_cov_3.969697       4    368 
    7.1e-34  119.2   9.8  NODE_555581_length_367_cov_5.724138     357      1 
    1.1e-33  118.6   9.5  NODE_69983_length_780_cov_3.260313      308      1 
    1.2e-33  118.4   6.2  NODE_185456_length_553_cov_1.430672     553    189 
    1.5e-33  118.1   7.1  NODE_435775_length_402_cov_21.172308      3    368 
    1.5e-32  114.7   6.7  NODE_551359_length_369_cov_12.804795    366      4 
    1.4e-31  111.6   2.6  NODE_102104_length_683_cov_2.912541     680    433 
    1.6e-31  111.4   7.2  NODE_555579_length_367_cov_32.975862     38    333 
