# target name                        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#                ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
NODE_35269_length_1001_cov_16.839827 -          archaea              -              183    1130       3     999       1    1001    1001    +    6.8e-263  879.8  38.4  -
NODE_3108_length_2596_cov_7.942834   -          archaea              -                9    1378     384    1872     375    1875    2596    +    4.7e-217  728.1  37.3  -
NODE_3693_length_2416_cov_4.865327   -          archaea              -               10    1378     485    2015     477    2018    2416    +    3.2e-216  725.3  30.7  -
NODE_3185_length_2571_cov_16.783881  -          archaea              -               11    1378    2087     540    2096     537    2571    -    3.2e-207  695.5  28.4  -
NODE_8382_length_1752_cov_14.712239  -          archaea              -               10    1337    1437       4    1445       1    1752    -    5.1e-207  694.8  24.2  -
NODE_6403_length_1938_cov_9.062332   -          archaea              -               10    1378     245    1765     237    1768    1938    +      5e-197  661.7  38.1  -
NODE_30052_length_1065_cov_9.051619  -          archaea              -              319    1292       3    1043       1    1061    1065    +    3.3e-166  559.7  21.7  -
NODE_18305_length_1291_cov_2.130972  -          archaea              -               44    1188    1279       1    1289       1    1291    -    4.3e-164  552.7  41.6  -
NODE_16490_length_1343_cov_16.184044 -          archaea              -               10    1007    1087       3    1095       1    1343    -    8.5e-148  498.7  29.7  -
NODE_62224_length_813_cov_7.716033   -          archaea              -              609    1366       2     810       1     813     813    +    3.7e-138  466.8  17.3  -
NODE_28832_length_1081_cov_5.266932  -          archaea              -               10     853     126    1081     118    1081    1081    +    9.2e-129  435.7  28.8  -
NODE_90989_length_711_cov_11.678233  -          archaea              -              564    1243       5     711       1     711     711    +      2e-125  424.7  19.9  -
NODE_18132_length_1295_cov_12.020525 -          archaea              -               10     849     921       1     930       1    1295    -    4.2e-125  423.6  28.5  -
NODE_48235_length_892_cov_16.266258  -          archaea              -               10     830      21     887      13     892     892    +      6e-119  403.2  23.8  -
NODE_69983_length_780_cov_3.260313   -          archaea              -              179     860     744       2     766       1     780    -    9.3e-110  372.8  19.6  -
NODE_76612_length_755_cov_1.479351   -          archaea              -              694    1378       1     726       1     729     755    +    1.9e-109  371.8   6.1  -
NODE_94797_length_701_cov_11.048077  -          archaea              -              763    1378       4     685       1     688     701    +    2.7e-106  361.4  12.4  -
NODE_69244_length_783_cov_1.720963   -          archaea              -              181     887     775      33     781      13     783    -    3.2e-106  361.1  51.1  -
NODE_102100_length_683_cov_20.465347 -          archaea              -              775    1378       4     667       1     670     683    +    2.1e-103  351.8  13.4  -
NODE_142584_length_608_cov_17.885122 -          archaea              -              410    1006       7     607       1     608     608    +    2.2e-103  351.7  20.6  -
NODE_141874_length_609_cov_5.768797  -          archaea              -              410    1007       4     608       2     609     609    +    2.9e-101  344.7  11.2  -
