# target name                        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#                ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
NODE_3693_length_2416_cov_4.865327   -          bacteria             -               32    1512     472    2019     451    2030    2416    +           0 1381.3  33.4  -
NODE_8382_length_1752_cov_14.712239  -          bacteria             -               30    1470    1452       1    1474       1    1752    -           0 1338.4  26.3  -
NODE_6403_length_1938_cov_9.062332   -          bacteria             -               26    1514     226    1771     205    1780    1938    +           0 1321.4  41.2  -
NODE_3108_length_2596_cov_7.942834   -          bacteria             -               31    1514     371    1878     350    1887    2596    +           0 1320.9  41.7  -
NODE_3185_length_2571_cov_16.783881  -          bacteria             -               31    1514    2102     534    2123     525    2571    -           0 1258.8  30.1  -
NODE_30052_length_1065_cov_9.051619  -          bacteria             -              361    1412       2    1062       1    1065    1065    +    3.3e-301 1007.1  25.6  -
NODE_18305_length_1291_cov_2.130972  -          bacteria             -               66    1289    1291       1    1291       1    1291    -      2e-295  987.9  45.3  -
NODE_16490_length_1343_cov_16.184044 -          bacteria             -               30    1087    1102       2    1123       1    1343    -    9.7e-290  969.1  29.9  -
NODE_18132_length_1295_cov_12.020525 -          bacteria             -               27     922     939       2     959       1    1295    -    3.1e-245  821.7  28.7  -
NODE_28832_length_1081_cov_5.266932  -          bacteria             -               31     927     112    1081      92    1081    1081    +    5.4e-241  807.6  31.1  -
NODE_48235_length_892_cov_16.266258  -          bacteria             -               35     910      11     892       2     892     892    +    7.5e-240  803.8  26.2  -
NODE_62224_length_813_cov_7.716033   -          bacteria             -              689    1497       1     811       1     813     813    +    5.9e-226  757.8  18.9  -
NODE_35498_length_999_cov_1.926247   -          bacteria             -               31     869     894       1     916       1     999    -    1.8e-218  733.1  22.0  -
NODE_69983_length_780_cov_3.260313   -          bacteria             -              216     935     750       1     771       1     780    -    6.7e-213  714.6  20.2  -
NODE_69244_length_783_cov_1.720963   -          bacteria             -              219     981     780      12     783       2     783    -    1.1e-205  690.6  53.4  -
NODE_90989_length_711_cov_11.678233  -          bacteria             -              642    1344       2     711       1     711     711    +    2.1e-202  679.8  22.7  -
NODE_76612_length_755_cov_1.479351   -          bacteria             -              774    1515       1     733       1     742     755    +    5.4e-186  625.5   6.9  -
NODE_94797_length_701_cov_11.048077  -          bacteria             -              835    1514       1     691       1     699     701    +    9.8e-184  618.0  14.2  -
NODE_102100_length_683_cov_20.465347 -          bacteria             -              849    1514       3     673       1     681     683    +    9.8e-181  608.1  15.9  -
NODE_17343_length_1316_cov_17.736885 -          bacteria             -              859    1514    1316     659    1316     649    1316    -    2.6e-177  596.7  13.4  -
NODE_126360_length_634_cov_21.023339 -          bacteria             -              450    1072     628       1     634       1     634    -    9.2e-171  575.0  17.6  -
NODE_141874_length_609_cov_5.768797  -          bacteria             -              487    1086       1     608       1     609     609    +      9e-170  571.7  10.5  -
NODE_142584_length_608_cov_17.885122 -          bacteria             -              484    1085       1     607       1     608     608    +    4.1e-167  563.0  20.5  -
NODE_11774_length_1534_cov_2.389156  -          bacteria             -              885    1514       1     631       1     640    1534    +    2.2e-162  547.3  21.5  -
NODE_108383_length_669_cov_3.785473  -          bacteria             -              182     804       6     665       1     669     669    +    6.5e-155  522.5   6.8  -
NODE_36672_length_986_cov_2.869087   -          bacteria             -               33     643     360     985     339     986     986    +    1.5e-152  514.7  17.8  -
NODE_187098_length_551_cov_2.795359  -          bacteria             -              365     911       1     551       1     551     551    +    5.1e-151  509.6  23.6  -
NODE_35269_length_1001_cov_16.839827 -          bacteria             -              226    1226       3     999       1    1001    1001    +    2.8e-149  503.9  36.6  -
NODE_153009_length_593_cov_2.571705  -          bacteria             -              113     696     588       2     593       1     593    -    4.4e-147  496.6  22.7  -
NODE_253016_length_492_cov_2.734940  -          bacteria             -              890    1380     492       2     492       1     492    -      5e-142  479.9   6.7  -
NODE_202356_length_535_cov_37.456332 -          bacteria             -              300     807       1     533       1     535     535    +    9.9e-142  478.9  25.7  -
NODE_197466_length_540_cov_2.660907  -          bacteria             -              367     895     539       1     540       1     540    -    1.2e-141  478.6  19.7  -
NODE_10967_length_1577_cov_3.510000  -          bacteria             -               31     549    1058    1577    1036    1577    1577    +    1.6e-139  471.5  13.7  -
NODE_185456_length_553_cov_1.430672  -          bacteria             -             1016    1515     553      52     553      43     553    -    8.1e-138  465.9  11.0  -
NODE_255860_length_490_cov_7.818402  -          bacteria             -              851    1337       1     489       1     490     490    +    1.7e-137  464.9  11.8  -
