# target name                        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#                ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
NODE_1673_length_3345_cov_4.424113   -          silva.eukarya        -                1    1733     926    2655     926    2656    3345    +           0 1615.9  33.6  -
NODE_413467_length_410_cov_2.399399  -          silva.eukarya        -              667    1071       3     409       1     410     410    +     1.5e-96  326.8   8.9  -
NODE_3693_length_2416_cov_4.865327   -          silva.eukarya        -              850    1644    1132    1903    1112    1927    2416    +     1.8e-83  283.5  14.0  -
NODE_8382_length_1752_cov_14.712239  -          silva.eukarya        -              863    1629     832      90     852      69    1752    -     1.3e-80  274.1   9.8  -
NODE_3108_length_2596_cov_7.942834   -          silva.eukarya        -              835    1626     985    1740     967    1754    2596    +     2.1e-79  270.0  17.0  -
NODE_35269_length_1001_cov_16.839827 -          silva.eukarya        -              858    1468     401     998     380    1001    1001    +     2.8e-76  259.7  26.1  -
NODE_62224_length_813_cov_7.716033   -          silva.eukarya        -              911    1629       7     693       1     713     813    +     1.5e-74  253.9  11.9  -
NODE_30052_length_1065_cov_9.051619  -          silva.eukarya        -              855    1626     282    1028     263    1038    1065    +     1.6e-74  253.8  16.1  -
NODE_3185_length_2571_cov_16.783881  -          silva.eukarya        -              846    1626    1434     670    1452     648    2571    -     1.4e-73  250.7  13.7  -
NODE_6403_length_1938_cov_9.062332   -          silva.eukarya        -              848    1628     889    1637     869    1660    1938    +     2.3e-71  243.4  15.4  -
NODE_94797_length_701_cov_11.048077  -          silva.eukarya        -             1089    1626      22     553       4     573     701    +     1.7e-62  214.0   9.4  -
NODE_90989_length_711_cov_11.678233  -          silva.eukarya        -              867    1582      11     700       1     711     711    +     5.8e-61  208.9  20.6  -
NODE_18305_length_1291_cov_2.130972  -          silva.eukarya        -              854    1534     681       4     701       1    1291    -     1.3e-60  207.8  20.2  -
NODE_102100_length_683_cov_20.465347 -          silva.eukarya        -             1089    1626      10     535       4     555     683    +     1.5e-59  204.3   9.8  -
NODE_433100_length_403_cov_1.702454  -          silva.eukarya        -             1443    1733       1     293       1     294     403    +     4.1e-58  199.5   1.2  -
NODE_76612_length_755_cov_1.479351   -          silva.eukarya        -              992    1624       2     603       1     623     755    +     4.6e-57  196.0   3.2  -
NODE_17343_length_1316_cov_17.736885 -          silva.eukarya        -             1093    1624    1315     798    1316     778    1316    -     3.9e-53  183.0   8.2  -
NODE_283259_length_472_cov_19.792405 -          silva.eukarya        -              863    1313      29     470       9     472     472    +     1.7e-52  180.9  12.4  -
NODE_141874_length_609_cov_5.768797  -          silva.eukarya        -              859    1316     157     607     136     609     609    +     2.5e-50  173.7   7.0  -
NODE_16490_length_1343_cov_16.184044 -          silva.eukarya        -              850    1315     460       5     480       1    1343    -     4.7e-50  172.8  11.3  -
NODE_255860_length_490_cov_7.818402  -          silva.eukarya        -             1089    1581       6     484       2     488     490    +     8.8e-49  168.6  10.5  -
NODE_142584_length_608_cov_17.885122 -          silva.eukarya        -              847    1315     147     606     129     608     608    +     1.7e-46  161.0  15.5  -
NODE_195526_length_542_cov_2.081720  -          silva.eukarya        -              877    1293     408       3     429       1     542    -       8e-46  158.8   7.4  -
NODE_126360_length_634_cov_21.023339 -          silva.eukarya        -              850    1302     444       2     464       1     634    -     3.7e-45  156.6  11.6  -
NODE_442142_length_400_cov_1.386997  -          silva.eukarya        -              952    1319     368       2     390       1     400    -     1.5e-43  151.3   6.3  -
NODE_253016_length_492_cov_2.734940  -          silva.eukarya        -             1123    1625     492       5     492       1     492    -     2.8e-43  150.3   6.3  -
NODE_11774_length_1534_cov_2.389156  -          silva.eukarya        -             1118    1626       1     494       1     515    1534    +     4.4e-43  149.7  14.2  -
NODE_316776_length_453_cov_1.247340  -          silva.eukarya        -             1155    1617     452       1     453       1     453    -     1.2e-40  141.6   8.6  -
NODE_69215_length_783_cov_2.383853   -          silva.eukarya        -             1164    1624     783     326     783     312     783    -     9.9e-39  135.3   6.6  -
NODE_432918_length_403_cov_6.852761  -          silva.eukarya        -              903    1309       3     400       1     403     403    +     4.2e-37  129.9  10.4  -
NODE_315196_length_454_cov_1.007958  -          silva.eukarya        -             1158    1620     454       1     454       1     454    -     9.8e-37  128.7   4.7  -
NODE_229907_length_510_cov_4.718245  -          silva.eukarya        -             1247    1629     506     141     509     120     510    -     1.2e-36  128.4   8.2  -
NODE_555825_length_337_cov_12.196154 -          silva.eukarya        -              866    1202     328       5     337       2     337    -       5e-36  126.3  10.2  -
NODE_30653_length_1057_cov_2.940816  -          silva.eukarya        -             1247    1628       4     366       2     387    1057    +     1.6e-35  124.7   3.8  -
NODE_69244_length_783_cov_1.720963   -          silva.eukarya        -              852    1202     363      26     379      19     783    -     1.6e-35  124.6  25.2  -
NODE_25613_length_1132_cov_14.159242 -          silva.eukarya        -             1247    1628       5     367       2     388    1132    +     1.6e-34  121.3   5.4  -
NODE_13264_length_1463_cov_3.969697  -          silva.eukarya        -             1247    1626       4     368       2     389    1463    +     3.9e-34  120.0   7.5  -
NODE_555581_length_367_cov_5.724138  -          silva.eukarya        -             1089    1448     357       1     364       1     367    -     7.1e-34  119.2   9.8  -
NODE_69983_length_780_cov_3.260313   -          silva.eukarya        -              849    1169     308       1     330       1     780    -     1.1e-33  118.6   9.5  -
NODE_185456_length_553_cov_1.430672  -          silva.eukarya        -             1247    1626     553     189     553     169     553    -     1.2e-33  118.4   6.2  -
NODE_435775_length_402_cov_21.172308 -          silva.eukarya        -             1246    1626       3     368       1     380     402    +     1.5e-33  118.1   7.1  -
NODE_551359_length_369_cov_12.804795 -          silva.eukarya        -             1247    1625     366       4     368       1     369    -     1.5e-32  114.7   6.7  -
NODE_102104_length_683_cov_2.912541  -          silva.eukarya        -             1396    1652     680     433     683     410     683    -     1.4e-31  111.6   2.6  -
NODE_555579_length_367_cov_32.975862 -          silva.eukarya        -             1089    1393      38     333      18     353     367    +     1.6e-31  111.4   7.2  -
NODE_555625_length_362_cov_19.235088 -          silva.eukarya        -             1247    1620       6     362       2     362     362    +     5.4e-31  109.6   8.4  -
NODE_432962_length_403_cov_2.220859  -          silva.eukarya        -             1246    1628       2     366       1     389     403    +     7.4e-31  109.2   5.3  -
NODE_555721_length_348_cov_5.531365  -          silva.eukarya        -             1397    1636       5     235       1     274     348    +     1.9e-30  107.8   2.8  -
NODE_64016_length_805_cov_2.559066   -          silva.eukarya        -             1246    1624     762     399     782     379     805    -     5.8e-30  106.2   1.8  -
NODE_555812_length_338_cov_11.570881 -          silva.eukarya        -             1089    1419       8     329       3     337     338    +     2.8e-29  104.0   8.2  -
NODE_28832_length_1081_cov_5.266932  -          silva.eukarya        -              866    1161     799    1081     778    1081    1081    +     4.5e-29  103.3  12.1  -
NODE_556499_length_256_cov_24.329609 -          silva.eukarya        -             1089    1313      25     252       7     256     256    +     1.4e-28  101.7   4.9  -
NODE_556708_length_237_cov_8.731250  -          silva.eukarya        -             1089    1314     232       2     236       1     237    -     1.6e-28  101.4   4.8  -
NODE_556469_length_259_cov_10.241758 -          silva.eukarya        -             1089    1319     246      15     256       4     259    -       4e-28  100.1   6.4  -
NODE_18132_length_1295_cov_12.020525 -          silva.eukarya        -              852    1157     294       1     314       1    1295    -     8.3e-28   99.1  12.0  -
NODE_556728_length_236_cov_10.798742 -          silva.eukarya        -             1089    1313       6     233       2     236     236    +     1.7e-27   98.1   5.4  -
NODE_556864_length_225_cov_13.155405 -          silva.eukarya        -             1093    1311     224       3     225       1     225    -     2.1e-27   97.8   3.5  -
NODE_556410_length_266_cov_25.947090 -          silva.eukarya        -             1089    1313      36     263      16     266     266    +     2.8e-27   97.3   4.3  -
NODE_556875_length_224_cov_12.435374 -          silva.eukarya        -              976    1204     223       8     224       2     224    -     2.3e-26   94.3   3.8  -
