# nhmmer :: search a DNA model, alignment, or sequence against a DNA database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query file:                      /opt/nesi/CS400_centos7_bdw/CheckM/1.2.3-foss-2023a-Python-3.11.6/data/hmms_ssu/SSU_bacteria.hmm
# target sequence database:        -
# output directed to file:         /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.bacteria.txt
# hits tabular output:             /nesi/nobackup/uoo04534/Norway/7_quality_second_check/6109_072_S129/ssu_finder/ssu.bacteria.table.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 1e-05
# number of worker threads:        16
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       bacteria  [M=1523]
Scores for complete hits:
    E-value  score  bias  Sequence                              start    end  Description
    ------- ------ -----  --------                              -----  -----  -----------
          0 1381.3  33.4  NODE_3693_length_2416_cov_4.865327      472   2019 
          0 1338.4  26.3  NODE_8382_length_1752_cov_14.712239    1452      1 
          0 1321.4  41.2  NODE_6403_length_1938_cov_9.062332      226   1771 
          0 1320.9  41.7  NODE_3108_length_2596_cov_7.942834      371   1878 
          0 1258.8  30.1  NODE_3185_length_2571_cov_16.783881    2102    534 
   3.3e-301 1007.1  25.6  NODE_30052_length_1065_cov_9.051619       2   1062 
     2e-295  987.9  45.3  NODE_18305_length_1291_cov_2.130972    1291      1 
   9.7e-290  969.1  29.9  NODE_16490_length_1343_cov_16.184044   1102      2 
   3.1e-245  821.7  28.7  NODE_18132_length_1295_cov_12.020525    939      2 
   5.4e-241  807.6  31.1  NODE_28832_length_1081_cov_5.266932     112   1081 
   7.5e-240  803.8  26.2  NODE_48235_length_892_cov_16.266258      11    892 
   5.9e-226  757.8  18.9  NODE_62224_length_813_cov_7.716033        1    811 
   1.8e-218  733.1  22.0  NODE_35498_length_999_cov_1.926247      894      1 
   6.7e-213  714.6  20.2  NODE_69983_length_780_cov_3.260313      750      1 
   1.1e-205  690.6  53.4  NODE_69244_length_783_cov_1.720963      780     12 
   2.1e-202  679.8  22.7  NODE_90989_length_711_cov_11.678233       2    711 
   5.4e-186  625.5   6.9  NODE_76612_length_755_cov_1.479351        1    733 
   9.8e-184  618.0  14.2  NODE_94797_length_701_cov_11.048077       1    691 
   9.8e-181  608.1  15.9  NODE_102100_length_683_cov_20.465347      3    673 
   2.6e-177  596.7  13.4  NODE_17343_length_1316_cov_17.736885   1316    659 
   9.2e-171  575.0  17.6  NODE_126360_length_634_cov_21.023339    628      1 
     9e-170  571.7  10.5  NODE_141874_length_609_cov_5.768797       1    608 
   4.1e-167  563.0  20.5  NODE_142584_length_608_cov_17.885122      1    607 
   2.2e-162  547.3  21.5  NODE_11774_length_1534_cov_2.389156       1    631 
   6.5e-155  522.5   6.8  NODE_108383_length_669_cov_3.785473       6    665 
   1.5e-152  514.7  17.8  NODE_36672_length_986_cov_2.869087      360    985 
   5.1e-151  509.6  23.6  NODE_187098_length_551_cov_2.795359       1    551 
